sales_date,customer_id,product_id,sold_qty,sales price
2020-01-01,Customer_61,Product_32,22,7.62
2020-01-01,Customer_61,Product_24,11,19.43
2020-01-01,Customer_56,Product_51,51,11.66
2020-01-01,Customer_24,Product_19,7,13.82
2020-01-01,Customer_24,Product_26,1,19.7
2020-01-01,Customer_81,Product_32,14,6.31
2020-01-01,Customer_81,Product_49,3,15
2020-01-01,Customer_81,Product_48,36,15
2020-01-01,Customer_75,Product_21,216,14.44
2020-01-01,Customer_86,Product_48,5,14
2020-01-01,Customer_82,Product_28,7,19.43
2020-01-01,Customer_42,Product_46,93,10.51
2020-01-01,Customer_55,Product_51,24,11.66
2020-01-01,Customer_28,Product_39,2,36.16
2020-01-02,Customer_61,Product_47,6,16.26
2020-01-02,Customer_81,Product_31,4,18.16
2020-01-02,Customer_64,Product_48,3,14
2020-01-02,Customer_58,Product_21,16,14.11
2020-01-02,Customer_58,Product_33,35,5.04
2020-01-02,Customer_69,Product_42,4,11.49
2020-01-02,Customer_69,Product_24,128,19.43
2020-01-02,Customer_13,Product_21,1,16.8
2020-01-02,Customer_55,Product_30,83,16.57
2020-01-02,Customer_28,Product_37,1,326.95
2020-01-02,Customer_41,Product_08,30,15.12
2020-01-03,Customer_61,Product_52,33,17.46
2020-01-03,Customer_07,Product_42,2,12.73
2020-01-03,Customer_56,Product_48,60,13
2020-01-03,Customer_86,Product_28,10,17.43
2020-01-03,Customer_86,Product_09,81,12.11
2020-01-03,Customer_16,Product_32,7,8.4
2020-01-03,Customer_51,Product_08,5,12
2020-01-03,Customer_21,Product_40,4,53.86
2020-01-03,Customer_46,Product_45,6,38.8
2020-01-04,Customer_62,Product_19,6,14.38
2020-01-04,Customer_62,Product_52,176,18.73
2020-01-04,Customer_11,Product_19,2,11.4
2020-01-04,Customer_61,Product_42,10,11.49
2020-01-04,Customer_61,Product_31,20,19.43
2020-01-04,Customer_61,Product_09,8,14.02
2020-01-04,Customer_61,Product_33,67,6.58
2020-01-04,Customer_61,Product_12,13,14.02
2020-01-04,Customer_61,Product_21,19,14.02
2020-01-04,Customer_85,Product_30,48,15.94
2020-01-04,Customer_06,Product_44,350,10.28
2020-01-04,Customer_75,Product_49,72,15.81
2020-01-04,Customer_75,Product_50,108,15.81
2020-01-04,Customer_75,Product_52,26,18.26
2020-01-04,Customer_75,Product_52,42,18.26
2020-01-04,Customer_86,Product_12,54,12.11
2020-01-04,Customer_86,Product_33,41,5.94
2020-01-04,Customer_82,Product_30,9,19.43
2020-01-04,Customer_82,Product_27,5,11.01
2020-01-04,Customer_42,Product_35,20,10
2020-01-04,Customer_54,Product_21,72,11.54
2020-01-04,Customer_29,Product_25,9,185.12
2020-01-04,Customer_29,Product_40,9,53.86
